row_id,vehicle_id,latitude,longitude,worker_id,distance_from_prev_point”
85,1249503,32.09092,34.80581,0,0
86,1249503,32.09094,34.80589,1,7.9 m
87,1249503,32.09094,34.80591,2,1.9 m
89,1249503,32.0909,34.80595,3,5.9 m
91,1249503,32.08972,34.80603,4,132 m
92,1249503,32.08969,34.806,5,4.4 m
93,1249503,32.08967,34.80598,6,3.0 m
95,1249503,32.08983,34.80545,7,54 m
96,1249503,32.08978,34.80532,8,14 m
97,1249503,32.08963,34.80524,9,19 m
98,1249503,32.08908,34.8049,10,70 m
100,1249503,32.08886,34.80436,11,57 m
104,1249503,32.08884,34.80434,12,3.0 m
109,1249503,32.089,34.80413,13,27 m
110,1249503,32.08903,34.80403,14,10.0 m
111,1249503,32.08901,34.80396,15,7.0 m
112,1249503,32.08897,34.80393,16,5.3 m
133,1249503,32.08843,34.80399,17,61 m
136,1249503,32.08791,34.80394,18,59 m
138,1249503,32.08753,34.80362,19,52 m
140,1249503,32.08694,34.80454,20,109 m
141,1249503,32.08686,34.80453,21,9.0 m
148,1249503,32.08652,34.80435,22,42 m
150,1249503,32.08686,34.80454,23,42 m
151,1249503,32.08688,34.80448,24,6.1 m
152,1249503,32.08693,34.80439,25,11 m
153,1249503,32.08733,34.80363,26,85 m
156,1249503,32.08753,34.80381,27,28 m
157,1249503,32.08789,34.80409,28,48 m
162,1249503,32.08831,34.80413,29,47 m
163,1249503,32.08848,34.80392,30,28 m
164,1249503,32.08849,34.80383,31,8.6 m
168,1249503,32.08945,34.80155,32,240 m
169,1249503,32.08947,34.80151,33,4.4 m
175,1249503,32.09058,34.79868,34,294 m
177,1249503,32.09063,34.79848,35,20 m
178,1249503,32.09062,34.79842,36,5.8 m
180,1249503,32.08972,34.79816,37,104 m
182,1249503,32.08911,34.79838,38,71 m
183,1249503,32.08887,34.79874,39,44 m
186,1249503,32.08875,34.79907,40,34 m
188,1249503,32.08868,34.79914,41,11 m
190,1249503,32.08856,34.79919,42,15 m
192,1249503,32.08838,34.79925,43,21 m
194,1249503,32.08816,34.79926,44,25 m
197,1249503,32.0874,34.79904,45,88 m
203,1249503,32.08697,34.79884,46,52 m
211,1249503,32.08551,34.79826,47,172 m
214,1249503,32.08503,34.79808,48,57 m
216,1249503,32.08497,34.79803,49,8.2 m
217,1249503,32.08477,34.79798,50,23 m
220,1249503,32.08389,34.79781,51,100 m
229,1249503,32.08229,34.79775,52,179 m
230,1249503,32.08198,34.79771,53,35 m
234,1249503,32.08153,34.7976,54,52 m
236,1249503,32.08133,34.79762,55,23 m
237,1249503,32.08128,34.7976,56,5.9 m
238,1249503,32.08123,34.79757,57,6.3 m
242,1249503,32.08022,34.79702,58,124 m
243,1249503,32.07945,34.79646,59,101 m
248,1249503,32.07801,34.795,60,212 m
250,1249503,32.07739,34.79425,61,99 m
253,1249503,32.07422,34.79297,62,373 m
459,63,238 m
189,1201369,32.06844,34.94455,64,6.8 m
191,1201369,32.0711,34.94543,65,308 m
193,1201369,32.07393,34.94689,66,344 m
196,1201369,32.08074,34.95117,67,859 m
200,1201369,32.08281,34.95226,68,253 m
201,1201369,32.08372,34.95245,69,103 m
202,1201369,32.0838,34.95241,70,9.7 m
204,1201369,32.08382,34.95239,71,3.0 m
206,1201369,32.08382,34.9523,72,8.5 m
207,1201369,32.08511,34.95152,73,162 m
208,1201369,32.08529,34.95127,74,31 m
209,1201369,32.08554,34.95085,75,49 m
212,1201369,32.08703,34.94756,76,352 m
221,1201369,32.09404,34.93918,77,1.2 km
223,1201369,32.09623,34.93584,78,398 m
224,1201369,32.09668,34.93543,79,64 m
225,1201369,32.097,34.93522,80,41 m
227,1201369,32.09913,34.93521,81,237 m
232,1201369,32.10566,34.93626,82,734 m
239,1201369,32.10555,34.93628,83,13 m
240,1201369,32.1056,34.9363,84,5.9 m
245,1201369,32.11222,34.93777,85,750 m
246,1201369,32.11263,34.93809,86,55 m
249,1201369,32.11427,34.93985,87,247 m
254,1201369,32.11443,34.94033,88,49 m
255,1201369,32.11451,34.94042,89,13 m
